randomized_id,start_lat,start_lng,end_lat,end_lng
-9221304899272910788,51.0829583,71.4223554,51.0949961,71.4162713
-9217374206810770265,51.0889499,71.4024592,51.0821034,71.4000536
-9214548556609186054,51.0794236,71.4219152,51.0795122,71.4213138
-9214033164510198912,51.0985433,71.4057889,51.0976468,71.4125806
-9212938812549517684,51.0977033,71.4119383,51.0944483,71.4240333
-9210829366468064350,51.0897132,71.4355302,51.0876475,71.4341773
-9207744341078435299,51.1002425,71.4286324,51.1001874,71.4285936
-9205038526221579984,51.10004,71.41216,51.0969,71.40532
-9204778906542759741,51.09874,71.40396,51.09906,71.40372
-9202172489717137435,51.0909402,71.425382,51.0897621,71.424873
-9201388571132764507,51.0804563,71.4138549,51.0992453,71.4120583
-9200688590849868007,51.08796,71.42412,51.07623,71.42013
-9200688590849868007,51.10032,71.42856,51.10053,71.42435
-9200688590849868007,51.07595,71.42003,51.07616,71.41955
-9200688590849868007,51.09913,71.4043,51.0766,71.42026
-9200393735604840411,51.09706,71.41667,51.10021,71.4286
-9198438140148819555,51.09161,71.42553,51.09519,71.42592
-9188776861367414071,51.0939634,71.4041826,51.1008485,71.406693
-9185900661715731450,51.0972303,71.4155132,51.0832661,71.4003369
-9185410353967780790,51.08366,71.42249,51.0917188,71.4254482
-9184194414569400743,51.08161,71.39988,51.09609,71.42725
-9174809634493203141,51.078585,71.4210146,51.094831,71.4267491
-9169657942830411046,51.0802065,71.4171292,51.0873264,71.4127742
-9169092331127415906,51.10022,71.42862,51.08246,71.40029
-9169092331127415906,51.0997,71.42834,51.08235,71.40114
-9167875026883133696,51.08689,71.4100317,51.08689,71.4100317
-9167088746307149199,51.09802,71.40898,51.09711,71.41532
-9164579065866867128,51.0941767,71.4065117,51.0969516,71.41764
-9163058962347897266,51.09454,71.40761,51.08427,71.40073
-9163058962347897266,51.1017,71.41349,51.08238,71.40006
-9163058962347897266,51.1017,71.41349,51.08122,71.39965
-9163058962347897266,51.1017,71.41349,51.09383,71.4092
-9162195255193388566,51.0977694,71.4275081,51.0939925,71.427886
-9162045034759763088,51.0933321,71.4050273,51.1011554,71.4068533
-9162045034759763088,51.0925893,71.4048021,51.0941998,71.4073816
-9158708586266049143,51.098975,71.4291351,51.0906123,71.4088616
-9155722751305835362,51.1010879,71.41914,51.0866511,71.4015828
-9152461748322117628,51.08307,71.39988,51.0823,71.39982
-9151020033265048541,51.08753,71.4198755,51.0948089,71.4044673
-9148563692634548769,51.0828542,71.4020248,51.0824664,71.4007046
-9148563692634548769,51.0796993,71.4195544,51.0829029,71.4020244
-9147503471921488242,51.0831148,71.4223456,51.0883469,71.4241628
-9146382068513855302,51.1016112,71.4147259,51.1020513,71.4116833
-9146069757806182028,51.0987512,71.4214108,51.0969893,71.420918
-9140863040906074716,51.0971923,71.4054692,51.0825867,71.4002692
-9135762914668397847,51.07893,71.4209,51.07721,71.42055
-9132405205502157208,51.0945893,71.4044197,51.1003968,71.4064447
-9129214461470326404,51.0828173,71.400173,51.0913815,71.4034074
-9128711894928852974,51.08774,71.40409,51.08604,71.40157
-9124202988660120272,51.0945894,71.4342501,51.0950455,71.4309248
-9122487775528839922,51.09305,71.4357,51.09227,71.43533
-9119866581379099892,51.0790305,71.4256398,51.079298,71.4247731
-9119015573981475259,51.0952057,71.4202921,51.0841891,71.4315979
-9115651427738250037,51.0894409,71.4112871,51.08908,71.411316
-9114457119762299628,51.09535,71.42881,51.09639,71.42143
-9113725169412304501,51.0895654,71.4066055,51.1016499,71.4223115
-9113725169412304501,51.0896393,71.4067389,51.1014511,71.4222047
